"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8965","E2E - Login, Add to Cart, Checkout, and Verify Order","chromium","Tue Sep 09 15:17:58 IST 2025","passed","Tue Sep 09 15:18:07 IST 2025","","e2e_checkout.spec.js","",""
"","11552","Failed login with invalid username","chromium","Mon Sep 08 19:51:07 IST 2025","passed","Mon Sep 08 19:51:19 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","12","Forgot password link functionality","firefox","Mon Sep 08 19:48:49 IST 2025","failed","Mon Sep 08 19:48:49 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","7","Login page elements visibility","firefox","Mon Sep 08 19:48:48 IST 2025","failed","Mon Sep 08 19:48:48 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","11142","Successful login with valid credentials","chromium","Mon Sep 08 19:51:07 IST 2025","passed","Mon Sep 08 19:51:18 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","6631","Failed login with empty password","chromium","Mon Sep 08 19:51:17 IST 2025","passed","Mon Sep 08 19:51:24 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","8","Failed login with invalid password","firefox","Mon Sep 08 19:48:46 IST 2025","failed","Mon Sep 08 19:48:46 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","12","Input field placeholders","firefox","Mon Sep 08 19:48:49 IST 2025","failed","Mon Sep 08 19:48:49 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","6732","Login page elements visibility","chromium","Mon Sep 08 19:51:19 IST 2025","passed","Mon Sep 08 19:51:25 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","11","Successful login with valid credentials","webkit","Mon Sep 08 19:48:50 IST 2025","failed","Mon Sep 08 19:48:50 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","9","Clear input fields","firefox","Mon Sep 08 19:48:50 IST 2025","failed","Mon Sep 08 19:48:50 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","7245","Input field placeholders","chromium","Mon Sep 08 19:51:19 IST 2025","passed","Mon Sep 08 19:51:26 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","5","Failed login with empty username","firefox","Mon Sep 08 19:48:47 IST 2025","failed","Mon Sep 08 19:48:47 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","5","Failed login with invalid username","firefox","Mon Sep 08 19:48:45 IST 2025","failed","Mon Sep 08 19:48:45 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","6","Failed login with empty password","firefox","Mon Sep 08 19:48:48 IST 2025","failed","Mon Sep 08 19:48:48 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","6","Failed login with invalid password","webkit","Mon Sep 08 19:48:51 IST 2025","failed","Mon Sep 08 19:48:51 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","9704","Failed login with empty username","chromium","Mon Sep 08 19:51:07 IST 2025","passed","Mon Sep 08 19:51:17 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","6447","Clear input fields","chromium","Mon Sep 08 19:51:24 IST 2025","passed","Mon Sep 08 19:51:31 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","8","Successful login with valid credentials","firefox","Mon Sep 08 19:48:45 IST 2025","failed","Mon Sep 08 19:48:45 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","11","Failed login with empty username","webkit","Mon Sep 08 19:48:52 IST 2025","failed","Mon Sep 08 19:48:52 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","11123","Failed login with invalid password","chromium","Mon Sep 08 19:51:07 IST 2025","passed","Mon Sep 08 19:51:19 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","7585","Forgot password link functionality","chromium","Mon Sep 08 19:51:19 IST 2025","passed","Mon Sep 08 19:51:27 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","14","Failed login with invalid username","webkit","Mon Sep 08 19:48:51 IST 2025","failed","Mon Sep 08 19:48:51 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","1","Login page elements visibility","webkit","Mon Sep 08 19:48:53 IST 2025","skipped","Mon Sep 08 19:48:53 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
"","1","Failed login with empty password","webkit","Mon Sep 08 19:48:52 IST 2025","skipped","Mon Sep 08 19:48:52 IST 2025","OrangeHRM Login Tests","spec\logintest.spec.js","",""
